ward,year,category,location,cost
4,2017,Alley Resurfacing,E 47TH ST & S INGLESIDE AVE&E 48TH ST & S ELLIS AVE,18272.17
4,2017,Alley Resurfacing,1312 E 53RD ST,5553.01
4,2017,Alley Resurfacing,4127 S ELLIS AVE,3744.46
4,2017,Alley Resurfacing,S CALUMET AVE & E 33RD BLVD&S GILES AVE & E 35TH ST,61781.62
4,2017,Alley Resurfacing,740 E 43RD ST,10520.14
4,2017,Concrete Alley,554 E 51ST ST,19354.19
4,2017,Curb & Gutter,4471 S OAKENWALD AVE,30223.9
4,2017,Curb & Gutter,4471 S OAKENWALD AVE,13138.42
4,2017,Unknown,Dearborn Park - Lighting Improvements 33 W POLK ST,8200.0
4,2017,Unknown,Dearborn Park - OEMC Camera 33 W POLK ST,27011.0
4,2017,Unknown,"In-Road ""State Law Stop For Pedestrians"" Signs MS COT TAGE GROVE AVE & E 38TH ST",600.0
4,2017,Left-Turn Arrow,E HYDE PARK BLVD & S LAKE PARK AVE,70000.0
4,2017,Unknown,Miscellaneous CDOT Projects (2017) LUTHER KING JR DR,4200.0
4,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
4,2017,Unknown,Miscellaneous Other Projects (2018) S DR MARTIN LUTHER KING JR DR & E 37TH ST,6545.0
4,2017,Pavement Markings,Pavement Markings Menu (2018) W POLK ST & S CLARK ST,1300.0
4,2017,Pedestrian Countdown Signal,S COTTAGE GROVE AVE & E 35TH ST,8892.0
4,2017,Pedestrian Refuge Island,S COTTAGE GROVE AVE & E 47TH PL,54919.23
4,2017,Unknown,POD Camera 1163 E 43RD ST,27011.0
4,2017,Unknown,Printers Row Park - Lighting Improvements,6500.0
4,2017,Sidewalk,BLVD ON S COTTAGE GROVE AVE FROM E 47TH PL (4730 S) TO E 48TH ST,39389.96
4,2017,Sidewalk,4007 S DREXEL BLVD,1301.92
4,2017,Sidewalk,601 E BOWEN AVE,56360.44
4,2017,Sidewalk,S DREXEL BLVD & E 42ND ST,21143.52
4,2017,Sidewalk,4800 S CHAMPLAIN AVE,49495.13
4,2017,Sidewalk,S LAKE PARK AVE & E 47TH ST,35788.58
4,2017,Street Light Upgrade,4232 S COTTAGE GROVE AVE,2000.0
4,2017,Street Light Upgrade,S LAKE PARK AVE & E 47TH ST,11355.0
4,2017,Street Resurfacing,AVE,67719.95
4,2017,Street Resurfacing,ON S PLYMOUTH CT FROM W 9TH ST (900 S) TO W 13TH ST,69876.53
4,2017,Street Resurfacing,ON S INGLESIDE AVE FROM E 47TH ST (4700 S) TO E 48TH ST,45432.89
4,2017,Street Resurfacing,ST (3500 S) TO E 36TH ST,58924.52
4,2017,Street Resurfacing,ON E 32ND ST FROM S EBERHART AVE (470 E) TO S RHODES AVE,31529.86
4,2017,Street Resurfacing,ON S KENWOOD AVE FROM E 54TH ST (5400 S) TO E 55TH ST,34064.77
4,2017,Street Resurfacing,ON S VINCENNES AVE FROM E 49TH ST (4899 S) TO E 50TH PL,2743.47
4,2017,Street Resurfacing,ON E 31ST ST FROM S MOE DR (599 E) TO S LAKE PARK AVE,60732.6
4,2017,Street Resurfacing,ON S DREXEL AVE FROM E 45TH ST (4500 S) TO E 47TH ST,133786.21
4,2017,Street Speed Hump,ON S PLYMOUTH CT FROM W 9TH ST (900 S) TO W 11TH PL,7400.0
