ward,year,category,location,cost
3,2017,Alley Resurfacing,S PRAIRIE AVE & E 35TH ST:S GILES AVE & E 37TH ST,3693.51
3,2017,Alley Resurfacing,4532 S FORRESTVILLE AVE,1146.26
3,2017,Alley Resurfacing,W GARFIELD BLVD & S PRINCETON AVE:S WELLS ST & W 57TH ST,8762.54
3,2017,Alley Resurfacing,S MICHIGAN AVE & E 50TH ST&S INDIANA AVE & E 51ST ST,41174.37
3,2017,Alley Resurfacing,S MICHIGAN AVE & E 49TH ST&S WABASH AVE & E 50TH ST,41734.77
3,2017,Alley Resurfacing,KING JR DR,20337.87
3,2017,Alley Speed Hump,4726 S SHIELDS AVE,1400.0
3,2017,Alley Speed Hump,MICHIGAN AVE & E 53RD ST&S WABASH AVE & E GARFIELD BLVD,700.0
3,2017,Arterial Street Bump Outs,S MICHIGAN AVE & E 46TH ST,27011.0
3,2017,Concrete Alley,W 47TH ST & S PRINCETON AVE&W 48TH PL & S SHIELDS AVE,9000.0
3,2017,Curb & Gutter,1335 S INDIANA AVE,15702.86
3,2017,Curb & Gutter,4943 S DR MARTIN LUTHER KING JR DR,23989.3
3,2017,Curb & Gutter,1618 S PRAIRIE AVE,9299.2
3,2017,Unknown,Miscellaneous CDOT Projects (2017) S INDIANA AVE & E 13TH ST,87215.09
3,2017,Unknown,50/50 Neighborhoods Arts Project,10000.0
3,2017,Pavement Markings,Pavement Markings Menu (2017) 41 W 35TH ST,2000.0
3,2017,Pedestrian Refuge Island,S STATE ST & E 13TH ST,11166.57
3,2017,Unknown,cancelled) VINCENNES AVE,81033.0
3,2017,Sidewalk,BLVD,24182.64
3,2017,Sidewalk,ON E 50TH ST FROM S INDIANA AVE (200 E) TO S PRAIRIE AVE,27861.33
3,2017,Sidewalk,326 W 47TH ST,17034.58
3,2017,Sidewalk,351 W 44TH PL,30369.43
3,2017,Sidewalk,4500-4526 S PRAIRIE AVE,15674.71
3,2017,Unknown,E):ON S CALUMET AVE FROM E 42ND ST (4200 S) TO E 45TH ST,320000.0
3,2017,Street Resurfacing,LAWRENCE AVE ON S FORRESTVILLE AVE FROM E 50TH ST (5000 S) TO E 51ST ST (5100,124662.89
3,2017,Street Resurfacing,ON W 45TH ST FROM S VINCENNES AVE (499 E) TO S EVANS AVE,128600.35
3,2017,Street Resurfacing,S FORRESTVILLE AVE & E 45TH ST,4300.0
3,2017,Street Speed Hump,ON S EVANS AVE FROM E 44TH ST (4400 S) TO E 45TH ST,3700.0
3,2017,Street Speed Hump,S MOE DR & S LSD 18TH DR XR,28000.0
3,2017,Viaduct Improvement,ON W 43RD ST FROM S SHIELDS AVE (330 W) TO S WALLACE ST,66000.0
