ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
2,2017,Alley Resurfacing,AVE N SOUTHPORT AVE & W WEBSTER AVE&N CLYBOURN AVE & N WAYNE,42229.01,ward1_2017_001,True,41.921620247028905,-87.66319747425776,0.95
2,2017,Alley Resurfacing,AVE,24693.66,ward1_2017_002,True,,,0.0
2,2017,Alley Resurfacing,W GOETHE ST & N STATE PKWY&W SCHILLER ST & N DEARBORN ST,27368.28,ward1_2017_003,True,41.90680203077108,-87.62941850634698,0.9
2,2017,Arterial Street Bump Outs,N WELLS ST & W SCOTT ST,96177.74,ward1_2017_004,True,41.90494874735241,-87.63451820326804,0.95
2,2017,Bollard,ON N MICHIGAN AVE FROM 100 N TO E OAK ST,10000.0,ward1_2017_005,True,,,0.0
2,2017,Curb & Gutter,350-375 E SUPERIOR ST,18420.11,ward1_2017_006,True,,,0.0
2,2017,Curb & Gutter,200 E DELAWARE PL,15740.08,ward1_2017_007,True,41.89952925,-87.62130262,0.97
2,2017,Curb & Gutter,W LE MOYNE ST & N GREENVIEW AVE,21872.28,ward1_2017_008,True,,,0.0
2,2017,Unknown,Division Street Underpass E DIVISION ST & N LAKE SHORE DR,100000.0,ward1_2017_009,True,,,0.0
2,2017,Signs,N CLYBOURN AVE & W WISCONSIN ST,350.0,ward1_2017_010,True,41.915053126589854,-87.65529244718017,0.95
2,2017,Signs,176 E CHESTNUT ST,350.0,ward1_2017_011,True,41.89840389438864,-87.62280679116635,0.88
2,2017,Left-Turn Arrow,W DIVISION ST & N LA SALLE DR,18490.0,ward1_2017_012,True,,,0.0
2,2017,Unknown,Miscellaneous CDOT Projects (2017) E OAK ST & N MICHIGAN AVE,19702.21,ward1_2017_013,True,41.900820473695966,-87.62411765912076,0.95
2,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_014,True,,,0.0
2,2017,Pavement Markings,Pavement Markings Menu (2016) 172 E CHESTNUT ST,1400.0,ward1_2017_015,True,,,0.0
2,2017,Unknown,Pedestrian Countdown Signal W NORTH AVE & N ELSTON AVE,5972.0,ward1_2017_016,True,,,0.0
2,2017,Pedestrian Countdown Signal,W NORTH AVE & N DAMEN AVE,50888.0,ward1_2017_017,True,,,0.0
2,2017,Unknown,P.F.C. Joseph Schallmoser Honorary Sign,634.0,ward1_2017_018,True,,,0.0
2,2017,Unknown,POD Camera - Ward 2 N MICHIGAN AVE & E LAKE SHORE DR,27011.0,ward1_2017_019,True,41.885753632281,-87.62450992737703,0.95
2,2017,Sidewalk,70 E ELM ST,1128.73,ward1_2017_020,True,41.90322778772522,-87.62588918103006,0.88
2,2017,Sidewalk,102 W GERMANIA PL,38823.28,ward1_2017_021,True,41.91064109,-87.63196377,0.97
2,2017,Sidewalk,1236 N DEARBORN ST,1272.98,ward1_2017_022,True,41.90505096,-87.63041193,0.97
2,2017,Unknown,AVE ON N LEAVITT ST FROM W IOWA ST (900 N) TO W AUGUSTA BLVD,205000.0,ward1_2017_023,True,,,0.88
2,2017,Street Resurfacing,ON N WOOD ST FROM W BEACH AVE (1420 N) TO W JULIAN ST,19187.76,ward1_2017_024,True,,,0.88
2,2017,Street Resurfacing,AVE ON N SOUTHPORT AVE FROM W WEBSTER AVE (2200 N) TO N,23909.77,ward1_2017_025,True,,,0.0
2,2017,Street Resurfacing,CLYBOURN AVE ON W WRIGHTWOOD AVE FROM N SOUTHPORT AVE (1400 W) TO N,21825.77,ward1_2017_026,True,,,0.0
2,2017,Street Resurfacing,GREENVIEW AVE ON W THOMAS ST FROM N MILWAUKEE AVE (1430 W) TO N ASHLAND,24961.05,ward1_2017_027,True,,,0.88
2,2017,Street Resurfacing,AVE ON W CORTEZ ST FROM N ASHLAND AVE (1600 W) TO N MILWAUKEE,100760.54,ward1_2017_028,True,,,0.88
2,2017,Street Resurfacing,AVE ON E WALTON ST FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200,120033.01,ward1_2017_029,True,,,0.0
2,2017,Street Resurfacing,ON E ELM ST FROM N STATE ST (1 E) TO N LAKE SHORE DR,245.25,ward1_2017_030,True,,,0.88
2,2017,Street Speed Hump,WRIGHTWOOD AVE ON W LILL AVE FROM N SOUTHPORT AVE (1400 W) TO N GREENVIEW,2941.35,ward1_2017_031,True,,,0.88
2,2017,Street Speed Hump,AVE ON W WALTON ST FROM N HOYNE AVE (2100 W) TO N LEAVITT ST,3700.0,ward1_2017_032,True,,,0.88
2,2017,Viaduct Improvement,W NORTH AVE & N GREENVIEW AVE,35911.26,ward1_2017_033,True,,,0.0
