ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
9,2017,Alley Resurfacing,321 E 119TH ST,10494.67,ward1_2017_001,True,41.67792271,-87.6156976,0.97
9,2017,Alley Resurfacing,12329 S STATE ST ON E 87TH ST FROM S ST LAWRENCE AVE (600 E) TO S EBERHART AVE,8813.49,ward1_2017_002,True,,,0.0
9,2017,Alley Speed Hump,E 87TH PL & S EBERHART AVE&E 88TH ST & S ST LAWRENCE AVE,1400.0,ward1_2017_003,True,41.73496042729015,-87.61084403284723,0.9
9,2017,Bollard,638 E 102ND PL,517.24,ward1_2017_004,True,41.70945635,-87.60738576,0.97
9,2017,Unknown,CPS Improvement - Ward 9,42000.0,ward1_2017_005,True,,,0.0
9,2017,Curb & Gutter,9301 S STATE ST,8281.15,ward1_2017_006,True,41.72471299,-87.62320762,0.97
9,2017,Curb & Gutter,9301 S STATE ST,8116.68,ward1_2017_007,True,41.72471299,-87.62320762,0.97
9,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_008,True,,,0.0
9,2017,Sidewalk,AVE ON E 111TH PL FROM S COTTAGE GROVE AVE (500 E) TO S,14754.41,ward1_2017_009,True,,,0.0
9,2017,Sidewalk,FORRESTVILLE AVE ON E 112TH ST FROM S COTTAGE GROVE AVE (500 E) TO S,55573.29,ward1_2017_010,True,,,0.0
9,2017,Sidewalk,FORRESTVILLE AVE,63321.25,ward1_2017_011,True,,,0.0
9,2017,Street Light Upgrade,11404 S INDIANA AVE:11361 S INDIANA AVE,812.0,ward1_2017_012,True,,,0.0
9,2017,Street Resurfacing,ON S RHODES AVE FROM E 103RD ST (10300 S) TO E 104TH ST,46725.24,ward1_2017_013,True,,,0.0
9,2017,Street Resurfacing,VERNON AVE ON E 109TH ST FROM S MICHIGAN AVE (100 E) TO S INDIANA AVE (200,32247.97,ward1_2017_014,True,,,0.0
9,2017,Street Resurfacing,ON S INDIANA AVE FROM E 107TH ST (10700 S) TO E 108TH ST,50035.33,ward1_2017_015,True,,,0.0
9,2017,Street Resurfacing,ON E 104TH ST FROM S PRAIRIE AVE (230 E) TO S FOREST AVE,35257.72,ward1_2017_016,True,,,0.0
9,2017,Street Resurfacing,ON S FOREST AVE FROM E 107TH ST (10700 S) TO E 108TH ST,48427.32,ward1_2017_017,True,,,0.0
9,2017,Street Resurfacing,ON S FOREST AVE FROM E 108TH ST (10800 S) TO E 109TH ST,50622.9,ward1_2017_018,True,,,0.0
9,2017,Street Resurfacing,ON E 89TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE,32906.1,ward1_2017_019,True,,,0.0
9,2017,Street Resurfacing,ON S WABASH AVE FROM E 88TH ST (8800 S) TO E 89TH ST,48577.59,ward1_2017_020,True,,,0.0
9,2017,Street Resurfacing,ON S INDIANA AVE FROM E 87TH ST (8700 S) TO E 88TH ST,93817.99,ward1_2017_021,True,,,0.0
9,2017,Street Resurfacing,ON E 104TH ST FROM S RHODES AVE (530 E) TO S DAUPHIN AVE,57189.86,ward1_2017_022,True,,,0.0
9,2017,Street Resurfacing,ON E 104TH PL FROM S RHODES AVE (530 E) TO S DAUPHIN AVE,43527.67,ward1_2017_023,True,,,0.0
9,2017,Street Resurfacing,KING JR DR ON S LAFAYETTE AVE FROM W 99TH ST (9900 S) TO W 100TH ST (10000,20408.04,ward1_2017_024,True,,,0.0
9,2017,Street Resurfacing,ON S INDIANA AVE FROM E 88TH ST (8800 S) TO E 89TH ST,62133.66,ward1_2017_025,True,,,0.0
9,2017,Street Resurfacing,ON W 126TH ST FROM S UNION AVE (700 W) TO S LOWE AVE,22784.34,ward1_2017_026,True,,,0.0
9,2017,Traffic Signal LED Upgrade,E 115TH ST & S COTTAGE GROVE AVE,28000.0,ward1_2017_027,True,,,0.0
